word1,word2
Acid,Acidic
Active,Activity
Admire,Admirable
Advantage,Advantageous
Affirm,Affirmation
Analog,Analogy
Anonymous,Anonymity
Appeal,Appellate
Atrocity ,Atrocious
Barbarian,Barbarous
Child,Children
Circumstance,Circumstancial
Colossal,Colosseum
Compare,Comparable
Competition,Competitive
Condense,Condensation
Cone,Conical
Congratulations,Congratulatory
Conjunct,Conjunction
Consequent,Consequence
Construct,Construction
Contemplate,Contemplative
Continue,Continuity
Contribute,Contribution
Cosmopolitan,Cosmopolite
Curious,Curiousity
Cycle,Cyclic
Deal,Dealt
Defer,Deference
Demonstrate,Demonstrative
Dissolve,Dissolution
Divide,Dividend
Drive,Driven
Dual,Duality
Eccentric,Eccentricity
Ecstasy,Ecstatic
Electric,Electrician
Emphasis,Emphatic
Empire,Empirical
Enigma,Enigmatic
Error,Erroneous
Excess,Excessive
Exhale,Exhalation
Expect,Expectation
Explain,Explanatory
Exposition,Expository
Famous,Infamous
Finite,Infinite
Frugal ,Frugality
Futile,Futility
Generate,Generative
Generate,Genetic
Heretic,Heretical
Icon,Iconic
Idiot,Idiotic
Ignorant,Ignoramus
Incline,Inclination
Indicate,Indicative
Information,Informative
Inhale,Inhalation
Inquire,Inquiry
Inundate,Inundation
Kinetic,Kinesis
Labor,Laborious
Lament,Lamentation
Luxury,Luxurious
Magic,Magician
Maintain,Maintainance
Major,Majority
Maniac,Maniacal
Mason,Masonic
Mediate,Immediate
Method,Methodical
Migrate ,Migratory
Minor,Minority
Negotiate,Negotiable
Neutral,Neutrality
Notorious,Notoriety
Nutrient,Nutritous
Palace ,Palatial
Perspire,Perspiration
Please,Pleasure
Popular,Popularity
Possible,Possibility
Prefer,Preferance
Prevail ,Prevalent 
Promiscuous,Promiscuity
Province,Provincial
Provoke,Provocative
Reconcile,Reconciliation
Refer,Reference
Regular,Regularity
Repair ,Irreparable
Repute,Reputable
Resource,Resourceful
Resource,Resourceful
Revoke,Irrevocable
Revolt,Revolution
Rythm,Rythmic
Sane,Sanity
Sequence,Sequential
South,Southern
Stasis,Static
Stupid,Stupidity
Sublime,Sublimate
Substance,Substantive
Superfluous,Superfluity
Symmetry,Symmetrical
Synonym,Synonymous
Technique,Technical
Testicle,Testicular
Titan,Titanium
Title,Titular
Total,Totality
Travel,Traverse
Unity,Unite
Vary,Variety